,train,val,test
0,AAVO_PM_003,ACYV_PM_002,ACYV_PM_002
1,ABEE_PM_003,ACIR_PM_002,ACIR_PM_002
2,ACOM_PM_001,ACIR_PM_003,ACIR_PM_003
3,ACZC_PM_001,ACTU_PM_001,ACTU_PM_001
4,ABND_PM_001,ACTU_PM_002,ACTU_PM_002
5,ABND_PM_002,ACTU_PM_003,ACTU_PM_003
6,ACKE_PM_002,ACET_PM_003,ACET_PM_003
7,ACKK_PM_002,AALU_PM_002,AALU_PM_002
8,ACKK_PM_003,ABON_PM_002,ABON_PM_002
9,ACMW_PM_001,ABON_PM_001,ABON_PM_001
10,ACMW_PM_002,ACUV_PM_002,ACUV_PM_002
11,ACMW_PM_003,ACME_PM_001,ACME_PM_001
12,ACMY_PM_002,ACME_PM_002,ACME_PM_002
13,ACOD_PM_001,ACME_PM_003,ACME_PM_003
14,ACPM_PM_001,,
15,ACPM_PM_003,,
16,ACSR_PM_003,,
17,ACSV_PM_001,,
18,ACUB_PM_003,,
19,ACXF_PM_001,,
20,ACYW_PM_002,,
21,ACYY_PM_003,,
22,AALS_PM_002,,
23,ABET_PM_001,,
24,ABET_PM_002,,
25,ABFK_PM_002,,
26,ABMP_PM_001,,
27,ABMW_PM_002,,
28,ABNA_PM_002,,
29,ABOC_PM_001,,
30,ABOC_PM_002,,
31,ABOC_PM_003,,
32,ACJC_PM_003,,
33,ACJZ_PM_002,,
34,ACKJ_PM_003,,
35,ACYX_PM_001,,
36,ACYX_PM_002,,
