,train,val,test
AALU_PM_002,True,False,False
AAVO_PM_003,True,False,False
ACOM_PM_001,True,False,False
ACZC_PM_001,True,False,False
ABND_PM_001,True,False,False
ABND_PM_002,True,False,False
ACIR_PM_002,True,False,False
ACIR_PM_003,True,False,False
ACKE_PM_002,True,False,False
ACKK_PM_002,True,False,False
ACKK_PM_003,True,False,False
ACMY_PM_002,True,False,False
ACOD_PM_001,True,False,False
ACPM_PM_001,True,False,False
ACPM_PM_003,True,False,False
ACSV_PM_001,True,False,False
ACTU_PM_001,True,False,False
ACTU_PM_002,True,False,False
ACTU_PM_003,True,False,False
ACUB_PM_003,True,False,False
ACXF_PM_001,True,False,False
ACYW_PM_002,True,False,False
ACYY_PM_003,True,False,False
AALS_PM_002,True,False,False
ABET_PM_001,True,False,False
ABET_PM_002,True,False,False
ABFK_PM_002,True,False,False
ABMW_PM_002,True,False,False
ABNA_PM_002,True,False,False
ACET_PM_003,True,False,False
ACJC_PM_003,True,False,False
ACJZ_PM_002,True,False,False
ACKJ_PM_003,True,False,False
ACME_PM_001,True,False,False
ACME_PM_002,True,False,False
ACME_PM_003,True,False,False
ACYX_PM_001,True,False,False
ACYX_PM_002,True,False,False
ABEE_PM_003,False,True,False
ABON_PM_002,False,True,False
ABON_PM_001,False,True,False
ACSR_PM_003,False,True,False
ABOC_PM_001,False,True,False
ABOC_PM_002,False,True,False
ABOC_PM_003,False,True,False
ACYV_PM_002,False,True,False
ACUV_PM_002,False,True,False
ACMW_PM_001,False,True,False
ACMW_PM_002,False,True,False
ACMW_PM_003,False,True,False
ABMP_PM_001,False,True,False
ABEE_PM_003,False,False,True
ABON_PM_002,False,False,True
ABON_PM_001,False,False,True
ACSR_PM_003,False,False,True
ABOC_PM_001,False,False,True
ABOC_PM_002,False,False,True
ABOC_PM_003,False,False,True
ACYV_PM_002,False,False,True
ACUV_PM_002,False,False,True
ACMW_PM_001,False,False,True
ACMW_PM_002,False,False,True
ACMW_PM_003,False,False,True
ABMP_PM_001,False,False,True
