,train,val,test
0,AALU_PM_002,ACYV_PM_002,ACYV_PM_002
1,AAVO_PM_003,ACSR_PM_003,ACSR_PM_003
2,ABEE_PM_003,ACKE_PM_002,ACKE_PM_002
3,ACOM_PM_001,ACJZ_PM_002,ACJZ_PM_002
4,ABND_PM_001,ACZC_PM_001,ACZC_PM_001
5,ABND_PM_002,ACUB_PM_003,ACUB_PM_003
6,ABON_PM_002,ACOD_PM_001,ACOD_PM_001
7,ABON_PM_001,ABNA_PM_002,ABNA_PM_002
8,ACIR_PM_002,,
9,ACIR_PM_003,,
10,ACKK_PM_002,,
11,ACKK_PM_003,,
12,ACMW_PM_001,,
13,ACMW_PM_002,,
14,ACMW_PM_003,,
15,ACMY_PM_002,,
16,ACPM_PM_001,,
17,ACPM_PM_003,,
18,ACSV_PM_001,,
19,ACTU_PM_001,,
20,ACTU_PM_002,,
21,ACTU_PM_003,,
22,ACUV_PM_002,,
23,ACXF_PM_001,,
24,ACYW_PM_002,,
25,ACYY_PM_003,,
26,AALS_PM_002,,
27,ABET_PM_001,,
28,ABET_PM_002,,
29,ABFK_PM_002,,
30,ABMP_PM_001,,
31,ABMW_PM_002,,
32,ABOC_PM_001,,
33,ABOC_PM_002,,
34,ABOC_PM_003,,
35,ACET_PM_003,,
36,ACJC_PM_003,,
37,ACKJ_PM_003,,
38,ACME_PM_001,,
39,ACME_PM_002,,
40,ACME_PM_003,,
41,ACYX_PM_001,,
42,ACYX_PM_002,,
