,train,val,test
0,AAVO_PM_003,ACZC_PM_001,ACZC_PM_001
1,ABEE_PM_003,ACYY_PM_003,ACYY_PM_003
2,ACOM_PM_001,ACUV_PM_002,ACUV_PM_002
3,ACYV_PM_002,ABFK_PM_002,ABFK_PM_002
4,ABND_PM_001,AALU_PM_002,AALU_PM_002
5,ABND_PM_002,ACUB_PM_003,ACUB_PM_003
6,ABON_PM_002,ACTU_PM_001,ACTU_PM_001
7,ABON_PM_001,ACTU_PM_002,ACTU_PM_002
8,ACIR_PM_002,ACTU_PM_003,ACTU_PM_003
9,ACIR_PM_003,ACJZ_PM_002,ACJZ_PM_002
10,ACKE_PM_002,,
11,ACKK_PM_002,,
12,ACKK_PM_003,,
13,ACMW_PM_001,,
14,ACMW_PM_002,,
15,ACMW_PM_003,,
16,ACMY_PM_002,,
17,ACOD_PM_001,,
18,ACPM_PM_001,,
19,ACPM_PM_003,,
20,ACSR_PM_003,,
21,ACSV_PM_001,,
22,ACXF_PM_001,,
23,ACYW_PM_002,,
24,AALS_PM_002,,
25,ABET_PM_001,,
26,ABET_PM_002,,
27,ABMP_PM_001,,
28,ABMW_PM_002,,
29,ABNA_PM_002,,
30,ABOC_PM_001,,
31,ABOC_PM_002,,
32,ABOC_PM_003,,
33,ACET_PM_003,,
34,ACJC_PM_003,,
35,ACKJ_PM_003,,
36,ACME_PM_001,,
37,ACME_PM_002,,
38,ACME_PM_003,,
39,ACYX_PM_001,,
40,ACYX_PM_002,,
