,train,val,test
0,AALU_PM_002,AAVO_PM_003,AAVO_PM_003
1,ABEE_PM_003,ACUB_PM_003,ACUB_PM_003
2,ACOM_PM_001,ACSV_PM_001,ACSV_PM_001
3,ACZC_PM_001,ABNA_PM_002,ABNA_PM_002
4,ABND_PM_001,ACYV_PM_002,ACYV_PM_002
5,ABND_PM_002,ACYY_PM_003,ACYY_PM_003
6,ABON_PM_002,ACOD_PM_001,ACOD_PM_001
7,ABON_PM_001,ABMP_PM_001,ABMP_PM_001
8,ACIR_PM_002,,
9,ACIR_PM_003,,
10,ACKE_PM_002,,
11,ACKK_PM_002,,
12,ACKK_PM_003,,
13,ACMW_PM_001,,
14,ACMW_PM_002,,
15,ACMW_PM_003,,
16,ACMY_PM_002,,
17,ACPM_PM_001,,
18,ACPM_PM_003,,
19,ACSR_PM_003,,
20,ACTU_PM_001,,
21,ACTU_PM_002,,
22,ACTU_PM_003,,
23,ACUV_PM_002,,
24,ACXF_PM_001,,
25,ACYW_PM_002,,
26,AALS_PM_002,,
27,ABET_PM_001,,
28,ABET_PM_002,,
29,ABFK_PM_002,,
30,ABMW_PM_002,,
31,ABOC_PM_001,,
32,ABOC_PM_002,,
33,ABOC_PM_003,,
34,ACET_PM_003,,
35,ACJC_PM_003,,
36,ACJZ_PM_002,,
37,ACKJ_PM_003,,
38,ACME_PM_001,,
39,ACME_PM_002,,
40,ACME_PM_003,,
41,ACYX_PM_001,,
42,ACYX_PM_002,,
