,train,val,test
0,AALU_PM_002,ACYV_PM_002,ACYV_PM_002
1,ABEE_PM_003,ACOD_PM_001,ACOD_PM_001
2,ACOM_PM_001,ACXF_PM_001,ACXF_PM_001
3,ACZC_PM_001,ACET_PM_003,ACET_PM_003
4,ABND_PM_001,AAVO_PM_003,AAVO_PM_003
5,ABND_PM_002,ACUV_PM_002,ACUV_PM_002
6,ABON_PM_002,ACYY_PM_003,ACYY_PM_003
7,ABON_PM_001,ABET_PM_001,ABET_PM_001
8,ACIR_PM_002,ABET_PM_002,ABET_PM_002
9,ACIR_PM_003,,
10,ACKE_PM_002,,
11,ACKK_PM_002,,
12,ACKK_PM_003,,
13,ACMW_PM_001,,
14,ACMW_PM_002,,
15,ACMW_PM_003,,
16,ACMY_PM_002,,
17,ACPM_PM_001,,
18,ACPM_PM_003,,
19,ACSR_PM_003,,
20,ACSV_PM_001,,
21,ACTU_PM_001,,
22,ACTU_PM_002,,
23,ACTU_PM_003,,
24,ACUB_PM_003,,
25,ACYW_PM_002,,
26,AALS_PM_002,,
27,ABFK_PM_002,,
28,ABMP_PM_001,,
29,ABMW_PM_002,,
30,ABNA_PM_002,,
31,ABOC_PM_001,,
32,ABOC_PM_002,,
33,ABOC_PM_003,,
34,ACJC_PM_003,,
35,ACJZ_PM_002,,
36,ACKJ_PM_003,,
37,ACME_PM_001,,
38,ACME_PM_002,,
39,ACME_PM_003,,
40,ACYX_PM_001,,
41,ACYX_PM_002,,
