,train,val,test
0,AALU_PM_002,ABEE_PM_003,ABEE_PM_003
1,AAVO_PM_003,ABON_PM_002,ABON_PM_002
2,ACOM_PM_001,ABON_PM_001,ABON_PM_001
3,ACZC_PM_001,ACSR_PM_003,ACSR_PM_003
4,ABND_PM_001,ABOC_PM_001,ABOC_PM_001
5,ABND_PM_002,ABOC_PM_002,ABOC_PM_002
6,ACIR_PM_002,ABOC_PM_003,ABOC_PM_003
7,ACIR_PM_003,ACYV_PM_002,ACYV_PM_002
8,ACKE_PM_002,ACUV_PM_002,ACUV_PM_002
9,ACKK_PM_002,ACMW_PM_001,ACMW_PM_001
10,ACKK_PM_003,ACMW_PM_002,ACMW_PM_002
11,ACMY_PM_002,ACMW_PM_003,ACMW_PM_003
12,ACOD_PM_001,ABMP_PM_001,ABMP_PM_001
13,ACPM_PM_001,,
14,ACPM_PM_003,,
15,ACSV_PM_001,,
16,ACTU_PM_001,,
17,ACTU_PM_002,,
18,ACTU_PM_003,,
19,ACUB_PM_003,,
20,ACXF_PM_001,,
21,ACYW_PM_002,,
22,ACYY_PM_003,,
23,AALS_PM_002,,
24,ABET_PM_001,,
25,ABET_PM_002,,
26,ABFK_PM_002,,
27,ABMW_PM_002,,
28,ABNA_PM_002,,
29,ACET_PM_003,,
30,ACJC_PM_003,,
31,ACJZ_PM_002,,
32,ACKJ_PM_003,,
33,ACME_PM_001,,
34,ACME_PM_002,,
35,ACME_PM_003,,
36,ACYX_PM_001,,
37,ACYX_PM_002,,
