,train,val,test
0,AAVO_PM_003,ABEE_PM_003,ABEE_PM_003
1,ACOM_PM_001,ACXF_PM_001,ACXF_PM_001
2,ACYV_PM_002,ACUV_PM_002,ACUV_PM_002
3,ACZC_PM_001,ABOC_PM_001,ABOC_PM_001
4,ABND_PM_001,ABOC_PM_002,ABOC_PM_002
5,ABND_PM_002,ABOC_PM_003,ABOC_PM_003
6,ABON_PM_002,AALU_PM_002,AALU_PM_002
7,ABON_PM_001,ACYY_PM_003,ACYY_PM_003
8,ACIR_PM_002,ACMW_PM_001,ACMW_PM_001
9,ACIR_PM_003,ACMW_PM_002,ACMW_PM_002
10,ACKE_PM_002,ACMW_PM_003,ACMW_PM_003
11,ACKK_PM_002,ACJZ_PM_002,ACJZ_PM_002
12,ACKK_PM_003,,
13,ACMY_PM_002,,
14,ACOD_PM_001,,
15,ACPM_PM_001,,
16,ACPM_PM_003,,
17,ACSR_PM_003,,
18,ACSV_PM_001,,
19,ACTU_PM_001,,
20,ACTU_PM_002,,
21,ACTU_PM_003,,
22,ACUB_PM_003,,
23,ACYW_PM_002,,
24,AALS_PM_002,,
25,ABET_PM_001,,
26,ABET_PM_002,,
27,ABFK_PM_002,,
28,ABMP_PM_001,,
29,ABMW_PM_002,,
30,ABNA_PM_002,,
31,ACET_PM_003,,
32,ACJC_PM_003,,
33,ACKJ_PM_003,,
34,ACME_PM_001,,
35,ACME_PM_002,,
36,ACME_PM_003,,
37,ACYX_PM_001,,
38,ACYX_PM_002,,
