,train,val,test
0,AALU_PM_002,ACYV_PM_002,ACYV_PM_002
1,AAVO_PM_003,ABON_PM_002,ABON_PM_002
2,ABEE_PM_003,ABON_PM_001,ABON_PM_001
3,ACOM_PM_001,ACMW_PM_001,ACMW_PM_001
4,ABND_PM_001,ACMW_PM_002,ACMW_PM_002
5,ABND_PM_002,ACMW_PM_003,ACMW_PM_003
6,ACIR_PM_002,ABNA_PM_002,ABNA_PM_002
7,ACIR_PM_003,ACZC_PM_001,ACZC_PM_001
8,ACKE_PM_002,ACYY_PM_003,ACYY_PM_003
9,ACKK_PM_002,ACMY_PM_002,ACMY_PM_002
10,ACKK_PM_003,ACJC_PM_003,ACJC_PM_003
11,ACOD_PM_001,,
12,ACPM_PM_001,,
13,ACPM_PM_003,,
14,ACSR_PM_003,,
15,ACSV_PM_001,,
16,ACTU_PM_001,,
17,ACTU_PM_002,,
18,ACTU_PM_003,,
19,ACUB_PM_003,,
20,ACUV_PM_002,,
21,ACXF_PM_001,,
22,ACYW_PM_002,,
23,AALS_PM_002,,
24,ABET_PM_001,,
25,ABET_PM_002,,
26,ABFK_PM_002,,
27,ABMP_PM_001,,
28,ABMW_PM_002,,
29,ABOC_PM_001,,
30,ABOC_PM_002,,
31,ABOC_PM_003,,
32,ACET_PM_003,,
33,ACJZ_PM_002,,
34,ACKJ_PM_003,,
35,ACME_PM_001,,
36,ACME_PM_002,,
37,ACME_PM_003,,
38,ACYX_PM_001,,
39,ACYX_PM_002,,
