train,val,test
U434_SS-19-1191,AAUE_PM_001,AAUE_PM_001
V105_SS-19-3133,ET84_ST-23-6516-A1 - 2023-08-28 11.44.53,ET84_ST-23-6516-A1 - 2023-08-28 11.44.53
V403_SS-19-3936_20_2019-07-12_17.29.53,CR10_ST-22-6073_A1,CR10_ST-22-6073_A1
S149-SS-18-1122-40x-S60,ABOC_PM_001,ABOC_PM_001
W165_SS-19-6009_40x_S60-2019-10-22-18-36-26,ABOC_PM_004,ABOC_PM_004
W819-ST-19-7750-40x-S60,ABOC_PM_002,ABOC_PM_002
W549-SS-19-7128-40x-S60,ABOC_PM_003,ABOC_PM_003
Y082_ST-20-2549_20x_XR,CH46_SS-22-4070_A2,CH46_SS-22-4070_A2
Y129_ST-20-2671_20x_S60,EW18_ST-23-6715-A1 - 2023-09-07 15.42.24,EW18_ST-23-6715-A1 - 2023-09-07 15.42.24
Y173_ST-20-2753_20x_XR_-_2020-07-13_10.14.05,Y640_SS-20-3950_20x_S60,Y640_SS-20-3950_20x_S60
Y130_ST-20-2672_20x_S60,W167_SS-19-6007_40x_S60-2019-10-22-18-47-59,W167_SS-19-6007_40x_S60-2019-10-22-18-47-59
Y131_ST-20-2673_20x_S60,V461_SS-19-4126_20x_S60_BF-2019-07-26-14-58-58,V461_SS-19-4126_20x_S60_BF-2019-07-26-14-58-58
Y868_ST-20-4416,EJ72_ST-23-4929_A1 - 2023-07-12 12.12.44,EJ72_ST-23-4929_A1 - 2023-07-12 12.12.44
Z117_ST-20-5139_A1,FG17_ST-23-8748_A1 - 2023-11-15 09.45.29,FG17_ST-23-8748_A1 - 2023-11-15 09.45.29
Z099_SS-20-5127_A2,EP57_ST-23-5846-A1 - 2023-08-09 11.43.23,EP57_ST-23-5846-A1 - 2023-08-09 11.43.23
Z256_SI-20-5097_A1,AAOZ_PM_002,AAOZ_PM_002
AI06_ST-21-4956_A1,BC52_SB-21-9482_A-1_-_2021-10-22_13.36.15,BC52_SB-21-9482_A-1_-_2021-10-22_13.36.15
AQ60_ST-21-7136_A1,W945-ST-19-8159-20x-S60,W945-ST-19-8159-20x-S60
AP67_SB21-6496_B1_3,FQ92_ST-24-200_A-1 - 2024-02-02 14.10.21,FQ92_ST-24-200_A-1 - 2024-02-02 14.10.21
AM87_ST-21-5928_A-1_2 ,EH73_ST-23-4589-A1-2023-06-14 15.43.05,EH73_ST-23-4589-A1-2023-06-14 15.43.05
AY85_SS-21-8759_A1,Y132_ST-20-2630_20x_S60,Y132_ST-20-2630_20x_S60
AU07_ST-21-7775_A1_2_-_2021-08-11_10.47.21,CX31_ST-22-7322_A1-20,CX31_ST-22-7322_A1-20
AU08_ST-21-7776_A1_-_2021-08-11_10.38.51,Y216_SI-20-2949_20x_XR---2020-07-13-10.53.43,Y216_SI-20-2949_20x_XR---2020-07-13-10.53.43
AW82_ST-21-8297_A1_-_2021-09-01_10.54.50,AJ56_ST-21-5484_A1_2,AJ56_ST-21-5484_A1_2
BW48_ST-22-2078_A1,CY37_SS-22-7433_A1,CY37_SS-22-7433_A1
CD01_ST-22-3277_A1,DR24_ST-23-1517_A1-2023-03-07_13.51.34,DR24_ST-23-1517_A1-2023-03-07_13.51.34
CP86_ST-22-5718_A1-20,AO42_ST-21-6553_A1_-_2021-06-23_14.08.47,AO42_ST-21-6553_A1_-_2021-06-23_14.08.47
CP72_ST-22-5896_A1,BO78_ST-22-698_A2 - 2022-02-18 11.01.02,BO78_ST-22-698_A2 - 2022-02-18 11.01.02
CJ95_ST-22-4817_A1,FJ68_ST-23-9406_A1 - 2023-11-30 12.17.16,FJ68_ST-23-9406_A1 - 2023-11-30 12.17.16
CU17_ST-22-6646_A1,CK33_ST-22-4882_A1,CK33_ST-22-4882_A1
DB64_ST-22-8087_A1-20,ACUB_PM_003,ACUB_PM_003
CV51_ST-22-6835_A1-20,AB06_ST-21-3188_A1,AB06_ST-21-3188_A1
CV58_ST-22-6870_A1-20,FC79_ST-23-8152,FC79_ST-23-8152
DB26_ST-22-8078_A1,BJ81_ST-21-11204_A1 - 2021-12-29 14.59.28,BJ81_ST-21-11204_A1 - 2021-12-29 14.59.28
DJ86_ST-23-123_A1-2023-01-23_16.13.09,CX55_ST-22-7549_A2-2022-11-01 14.13.28,CX55_ST-22-7549_A2-2022-11-01 14.13.28
DK46_ST-23-173-A1-2023-01-31_12.03.12,CT15_SS-22-6627_A1-20,CT15_SS-22-6627_A1-20
DO27_ST-23-952-A-1-SL1-2023-02-16_16.01.13,Z434_ST-20-5830_A1,Z434_ST-20-5830_A1
DS49_SS-23-1887-A2-2023-03-15_11.32.25,FF98_ST-23-8729_A - 2023-11-09 10.21.43,FF98_ST-23-8729_A - 2023-11-09 10.21.43
DV42_ST-23-2210-A1-2023-04-12_09.31.57,BT91_ST-22-1861_A1,BT91_ST-22-1861_A1
EM82_ST-23-5491-A1 - 2023-07-18 13.35.38,CL36_ST-22-5072_A1,CL36_ST-22-5072_A1
EH77_ST-23-4629-A1-2023-06-14 14.46.07,GE01_ST-24-2448_A-1 - 2024-04-03 09.42.18,GE01_ST-24-2448_A-1 - 2024-04-03 09.42.18
EF31_SI-23-4185-B-2-SL1 - 2023-06-09 11.07.25,X083-SS-20-346-20x-S60,X083-SS-20-346-20x-S60
EU26_ST-23-6571-A1 - 2023-08-28 12.14.26,Z006_SS-20-4991_A1,Z006_SS-20-4991_A1
ER34_ST-23-6041_A-1-2023-08-15 11.18.43,ADAZ_PM_001,ADAZ_PM_001
EW85_SI-23-6999-A-6-SL1 - 2023-09-07 15.31.02,V089_SS-19-3028,V089_SS-19-3028
GB68_ST-24-2243_A1 - 2024-03-22 15.01.53,DP33_SS-23-1271-A-1-SL1-2023-02-27_14.08.34,DP33_SS-23-1271-A-1-SL1-2023-02-27_14.08.34
GE14_ST-24-2617_A1 - 2024-04-03 10.09.34,ACOJ_PM_004,ACOJ_PM_004
FI06_SS-23-8928-SLIDE-A3,DO56_ST-23-1041_A2_-2023-02-23_12.26.25,DO56_ST-23-1041_A2_-2023-02-23_12.26.25
FS43_ST-24-544_A1 - 2024-02-01 11.41.24,DS25_ST-23-1554-A1-2023-03-16_14.32.37,DS25_ST-23-1554-A1-2023-03-16_14.32.37
AALU_PM_002,GA55_ST-24-2037_A1 - 2024-03-20 14.44.26,GA55_ST-24-2037_A1 - 2024-03-20 14.44.26
AAMC_PM_001,FB82_ST-23-7939_A - 2023-10-10 16.43.42,FB82_ST-23-7939_A - 2023-10-10 16.43.42
AAND_PM_001,EL85_ST-23-5310_A1-2023-07-12 11.06.35,EL85_ST-23-5310_A1-2023-07-12 11.06.35
AAOE_PM_001,DH88_SI-22-9452-A-1-SL1,DH88_SI-22-9452-A-1-SL1
AASH_PM_003,W551-SS-19-7157-40x-S60,W551-SS-19-7157-40x-S60
AASK_PM_001,DP50_ST-23-1236-A1-2023-02-27_12.42.40,DP50_ST-23-1236-A1-2023-02-27_12.42.40
AASN_PM_001,W918-SS-19-8152-40x-S60,W918-SS-19-8152-40x-S60
AAVO_PM_003,DP68_ST-23-1168_A2-2023-03-07_15.01.57,DP68_ST-23-1168_A2-2023-03-07_15.01.57
AAWK_PM_001,W121_SI-19-5976_40x_S60-2019-10-22-17-47-07,W121_SI-19-5976_40x_S60-2019-10-22-17-47-07
ABAH_PM_001,AA28_ST-21-2997_A1_2,AA28_ST-21-2997_A1_2
ABEE_PM_001,AI65_ST-21-5102_A1,AI65_ST-21-5102_A1
ABEE_PM_004,ABFK_PM_002,ABFK_PM_002
ABEE_PM_003,BX27_ST-22-2160_A1,BX27_ST-22-2160_A1
ACIR_PM_004,DD69_ST-22-8403_A1-2022-12-02_16.45.12,DD69_ST-22-8403_A1-2022-12-02_16.45.12
ACIR_PM_002,,
ACIR_PM_005,,
ACIR_PM_003,,
ACNK_PM_005,,
ACOR_PM_004,,
ACOR_PM_005,,
ACOR_PM_006,,
ACOR_PM_007,,
ACOW_PM_001,,
ACUT_PM_001,,
ACZC_PM_001,,
ACZI_PM_003,,
ADAS_PM_003,,
ADBI_PM_003,,
ADEG_PM_002,,
ADEG_PM_004,,
ADEG_PM_003,,
