train,val,test
U434_SS-19-1191,AM87_ST-21-5928_A-1_2 ,AM87_ST-21-5928_A-1_2 
V105_SS-19-3133,CP86_ST-22-5718_A1-20,CP86_ST-22-5718_A1-20
V403_SS-19-3936_20_2019-07-12_17.29.53,CK88_ST-22-4960_A1,CK88_ST-22-4960_A1
V461_SS-19-4126_20x_S60_BF-2019-07-26-14-58-58,AASK_PM_001,AASK_PM_001
W167_SS-19-6007_40x_S60-2019-10-22-18-47-59,ADPH_PM_001,ADPH_PM_001
W819-ST-19-7750-40x-S60,ABOC_PM_001,ABOC_PM_001
W549-SS-19-7128-40x-S60,ABOC_PM_004,ABOC_PM_004
Y129_ST-20-2671_20x_S60,ABOC_PM_002,ABOC_PM_002
Y173_ST-20-2753_20x_XR_-_2020-07-13_10.14.05,ABOC_PM_003,ABOC_PM_003
Y130_ST-20-2672_20x_S60,AALU_PM_002,AALU_PM_002
Y131_ST-20-2673_20x_S60,ET84_ST-23-6516-A1 - 2023-08-28 11.44.53,ET84_ST-23-6516-A1 - 2023-08-28 11.44.53
Y868_ST-20-4416,Y082_ST-20-2549_20x_XR,Y082_ST-20-2549_20x_XR
Z117_ST-20-5139_A1,ACZC_PM_001,ACZC_PM_001
Z099_SS-20-5127_A2,DI68_ST-22-9382_A1_-_2023-01-12_14.36.41,DI68_ST-22-9382_A1_-_2023-01-12_14.36.41
Z256_SI-20-5097_A1,AP90_ST-21-6950_A1_2,AP90_ST-21-6950_A1_2
AI06_ST-21-4956_A1,X881-ST-20-2191-20x-XR-2---2020-05-20-09.27.49,X881-ST-20-2191-20x-XR-2---2020-05-20-09.27.49
AQ12_ST-21-6963_A1,Y216_SI-20-2949_20x_XR---2020-07-13-10.53.43,Y216_SI-20-2949_20x_XR---2020-07-13-10.53.43
AQ60_ST-21-7136_A1,Z218_ST-20-5314_A1,Z218_ST-20-5314_A1
AP67_SB21-6496_B1_3,EA52_ST-23-3303-A1_-_2023-05-08_15.36.34,EA52_ST-23-3303-A1_-_2023-05-08_15.36.34
AY85_SS-21-8759_A1,FX90_ST-24-1566_A1 - 2024-03-08 12.21.15,FX90_ST-24-1566_A1 - 2024-03-08 12.21.15
AU07_ST-21-7775_A1_2_-_2021-08-11_10.47.21,DH58_ST-22-9165_A1-2023-01-09_13.55.08,DH58_ST-22-9165_A1-2023-01-09_13.55.08
AU08_ST-21-7776_A1_-_2021-08-11_10.38.51,Z713_ST-20-6592_A1,Z713_ST-20-6592_A1
AW82_ST-21-8297_A1_-_2021-09-01_10.54.50,FL73_SS-23-9561-A-1,FL73_SS-23-9561-A-1
BC47_SS-21-9410_A-1-SL1_-_2021-10-21_17.46.45,W046_SS-19-5609_40x_S60-2019-10-18-18-32-02,W046_SS-19-5609_40x_S60-2019-10-18-18-32-02
BW48_ST-22-2078_A1,ER93_ST-23-6205_A-1-2023-08-15 15.06.45,ER93_ST-23-6205_A-1-2023-08-15 15.06.45
CD01_ST-22-3277_A1,AL05_SS-21-5726_A1,AL05_SS-21-5726_A1
CH46_SS-22-4070_A2,ADCY_PM_001,ADCY_PM_001
CR10_ST-22-6073_A1,ADCY_PM_004,ADCY_PM_004
CM16_ST-22-5284_A1,ADCY_PM_003,ADCY_PM_003
CP72_ST-22-5896_A1,ADCY_PM_002,ADCY_PM_002
CJ95_ST-22-4817_A1,FF76_ST-23-8646-A1,FF76_ST-23-8646-A1
CU17_ST-22-6646_A1,Z848_SS-20-7003_A1,Z848_SS-20-7003_A1
DB64_ST-22-8087_A1-20,W883-ST-19-8107-40x-S60,W883-ST-19-8107-40x-S60
