train,val,test
U434_SS-19-1191,ACMW_PM_001,ACMW_PM_001
V105_SS-19-3133,ACMW_PM_002,ACMW_PM_002
V403_SS-19-3936_20_2019-07-12_17.29.53,ACMW_PM_003,ACMW_PM_003
V461_SS-19-4126_20x_S60_BF-2019-07-26-14-58-58,AU08_ST-21-7776_A1_-_2021-08-11_10.38.51,AU08_ST-21-7776_A1_-_2021-08-11_10.38.51
S149-SS-18-1122-40x-S60,ACUB_PM_003,ACUB_PM_003
W167_SS-19-6007_40x_S60-2019-10-22-18-47-59,ET84_ST-23-6516-A1 - 2023-08-28 11.44.53,ET84_ST-23-6516-A1 - 2023-08-28 11.44.53
W819-ST-19-7750-40x-S60,AW82_ST-21-8297_A1_-_2021-09-01_10.54.50,AW82_ST-21-8297_A1_-_2021-09-01_10.54.50
W549-SS-19-7128-40x-S60,FI06_SS-23-8928-SLIDE-A3,FI06_SS-23-8928-SLIDE-A3
Y082_ST-20-2549_20x_XR,DV42_ST-23-2210-A1-2023-04-12_09.31.57,DV42_ST-23-2210-A1-2023-04-12_09.31.57
Y129_ST-20-2671_20x_S60,BQ02_ST-22-798_A12,BQ02_ST-22-798_A12
Y173_ST-20-2753_20x_XR_-_2020-07-13_10.14.05,AK79_ST-21-5652_A1,AK79_ST-21-5652_A1
Y130_ST-20-2672_20x_S60,FQ12_ST-24-171-A - 2024-01-19 17.32.17,FQ12_ST-24-171-A - 2024-01-19 17.32.17
Y131_ST-20-2673_20x_S60,ACJM_PM_002,ACJM_PM_002
Y868_ST-20-4416,ACJM_PM_003,ACJM_PM_003
Z117_ST-20-5139_A1,FJ68_ST-23-9406_A1 - 2023-11-30 12.17.16,FJ68_ST-23-9406_A1 - 2023-11-30 12.17.16
Z099_SS-20-5127_A2,BR72_ST-22-1213_A1 - 2022-03-14 14.12.27,BR72_ST-22-1213_A1 - 2022-03-14 14.12.27
Y640_SS-20-3950_20x_S60,W269_ST-19-6408_40x_S60_2019-12-11_14.52.39,W269_ST-19-6408_40x_S60_2019-12-11_14.52.39
Z256_SI-20-5097_A1,DH58_ST-22-9165_A1-2023-01-09_13.55.08,DH58_ST-22-9165_A1-2023-01-09_13.55.08
AI06_ST-21-4956_A1,Y132_ST-20-2630_20x_S60,Y132_ST-20-2630_20x_S60
AQ12_ST-21-6963_A1,ADEG_PM_002,ADEG_PM_002
AQ60_ST-21-7136_A1,ADEG_PM_003,ADEG_PM_003
AP67_SB21-6496_B1_3,DR19_ST-23-1444_A1-2023-03-07_14.32.58,DR19_ST-23-1444_A1-2023-03-07_14.32.58
AM87_ST-21-5928_A-1_2 ,EA19_ST-23-3261-A1 - 2023-05-09 11.09.53,EA19_ST-23-3261-A1 - 2023-05-09 11.09.53
AY85_SS-21-8759_A1,V288_SS-19-3564_2019-06-27_16.59.49,V288_SS-19-3564_2019-06-27_16.59.49
AU07_ST-21-7775_A1_2_-_2021-08-11_10.47.21,AALU_PM_002,AALU_PM_002
BC47_SS-21-9410_A-1-SL1_-_2021-10-21_17.46.45,W367_ST-19-6640_20x_S60_2019-12-10_18.22.25,W367_ST-19-6640_20x_S60_2019-12-10_18.22.25
BW48_ST-22-2078_A1,EQ22_ST-23-5854-A-1-SL1 - 2023-08-08 13.11.23,EQ22_ST-23-5854-A-1-SL1 - 2023-08-08 13.11.23
CD01_ST-22-3277_A1,AQ65_SS-21-6865_A1_-_2021-07-13_13.29.38,AQ65_SS-21-6865_A1_-_2021-07-13_13.29.38
CH46_SS-22-4070_A2,CX55_ST-22-7549_A2-2022-11-01 14.13.28,CX55_ST-22-7549_A2-2022-11-01 14.13.28
CP86_ST-22-5718_A1-20,CE48_ST-22-3811_A1,CE48_ST-22-3811_A1
CR10_ST-22-6073_A1,EL50_ST-23-5004_A-1-2023-07-13 13.42.30,EL50_ST-23-5004_A-1-2023-07-13 13.42.30
CK88_ST-22-4960_A1,V466_SI-19-3778_20x_S60_BF-2019-07-26-15-11-18,V466_SI-19-3778_20x_S60_BF-2019-07-26-15-11-18
CM16_ST-22-5284_A1,BT24_SS-22-1508_A1,BT24_SS-22-1508_A1
CP72_ST-22-5896_A1,CW44_ST-22-7238_A2-20,CW44_ST-22-7238_A2-20
CJ95_ST-22-4817_A1,AF87_SS-21-4421_B5,AF87_SS-21-4421_B5
CU17_ST-22-6646_A1,BX27_ST-22-2160_A1,BX27_ST-22-2160_A1
DB64_ST-22-8087_A1-20,CL82_ST-22-4721_A3,CL82_ST-22-4721_A3
DC18_ST-22-8425-A1-2022-11-22_11.19.57,Z435_ST-20-5834_A1_2,Z435_ST-20-5834_A1_2
CV51_ST-22-6835_A1-20,DA07_ST-22-7904_A1-20,DA07_ST-22-7904_A1-20
CV58_ST-22-6870_A1-20,W703-SS-19-7660-40x-S60,W703-SS-19-7660-40x-S60
DO27_ST-23-952-A-1-SL1-2023-02-16_16.01.13,CY95_SI-22-7500_D1-20,CY95_SI-22-7500_D1-20
DS49_SS-23-1887-A2-2023-03-15_11.32.25,GD96_ST-24-2680_A1 - 2024-04-03 09.31.52,GD96_ST-24-2680_A1 - 2024-04-03 09.31.52
EM82_ST-23-5491-A1 - 2023-07-18 13.35.38,ABOC_PM_001,ABOC_PM_001
EJ72_ST-23-4929_A1 - 2023-07-12 12.12.44,ABOC_PM_002,ABOC_PM_002
EF31_SI-23-4185-B-2-SL1 - 2023-06-09 11.07.25,ABOC_PM_003,ABOC_PM_003
EU26_ST-23-6571-A1 - 2023-08-28 12.14.26,AX76_SS-21-8466_A-1_-_2021-09-09_11.55.38,AX76_SS-21-8466_A-1_-_2021-09-09_11.55.38
ER34_ST-23-6041_A-1-2023-08-15 11.18.43,FU57_SI-24-487-A-2,FU57_SI-24-487-A-2
EW85_SI-23-6999-A-6-SL1 - 2023-09-07 15.31.02,AE99_ST-21-4266_A1,AE99_ST-21-4266_A1
EW18_ST-23-6715-A1 - 2023-09-07 15.42.24,GD37_ST-24-2450_A2 - 2024-03-29 12.33.49,GD37_ST-24-2450_A2 - 2024-03-29 12.33.49
GB68_ST-24-2243_A1 - 2024-03-22 15.01.53,ADCY_PM_001,ADCY_PM_001
GE14_ST-24-2617_A1 - 2024-04-03 10.09.34,ADCY_PM_003,ADCY_PM_003
FS43_ST-24-544_A1 - 2024-02-01 11.41.24,ADCY_PM_002,ADCY_PM_002
ACIR_PM_002,BD68_ST-21-9889_A1_-_2021-11-02_10.03.02,BD68_ST-21-9889_A1_-_2021-11-02_10.03.02
ACIR_PM_003,X955_ST-20-2304-20x-XR,X955_ST-20-2304-20x-XR
ACMY_PM_002,FI34_ST-23-9090_A1 - 2023-11-27 13.23.34,FI34_ST-23-9090_A1 - 2023-11-27 13.23.34
ADDC_PM_002,AW62_ST-21-8408_A1_-_2021-09-09_09.01.48,AW62_ST-21-8408_A1_-_2021-09-09_09.01.48
ADDC_PM_003,DT78_ST-23-1874-A1-2023-03-24_09.23.36,DT78_ST-23-1874-A1-2023-03-24_09.23.36
ADDC_PM_001,FC03_ST-23-8041_A2 - 2023-10-13 14.12.13,FC03_ST-23-8041_A2 - 2023-10-13 14.12.13
ADDG_PM_003,FM21_ST-23-9749-A-1,FM21_ST-23-9749-A-1
ADFO_PM_001,CX45_ST-22-7360_A1-2022-11-01_15.04.09,CX45_ST-22-7360_A1-2022-11-01_15.04.09
ADFO_PM_002,Z334_SI-20-5636_A3,Z334_SI-20-5636_A3
ADFO_PM_003,CL89_ST-22-4871_A1,CL89_ST-22-4871_A1
U764_SS-19-2021__S19-4922-1C_2019-04-25_10.34.00,FY39_ST-24-1559_A1 - 2024-03-06 11.10.39,FY39_ST-24-1559_A1 - 2024-03-06 11.10.39
V194_ST-19-3309-2019-07-05-10-59-37,,
V260_SI-19-3130_2019-06-27_16.57.53,,
V465_SI-19-3954_20x_S60_BF-2019-07-26-15-07-38,,
W761-ST-19-7620-40x-S60,,
W046_SS-19-5609_40x_S60-2019-10-18-18-32-02,,
W622-SS-19-7402-40x-S60,,
W328_ST-19-6513_40x_S60_2019-12-11_16.16.21,,
W595-SI-19-6907-20x-S60---2019-12-31-14.36.29,,
W883-ST-19-8107-40x-S60,,
W668-SI-19-7268-40x-S60,,
W945-ST-19-8159-20x-S60,,
W947-ST-19-8162-40x-S60,,
V773_SS-19-4868_40x_S60-2019-10-04-16-50-08,,
W910-SI-19-7762-20x-S60,,
W950-SS-19-8150-40x-S60,,
X954_ST-20-2307-20x-XR,,
X930_ST-20-2333_20x_XR,,
X617-ST-20-1491-20x-S60,,
X715-SI-20-1837-2A-SL1-20x-S60,,
X884-ST-20-2176-20x-XR,,
V313-SI-19-3474-aA-SL1-20x-XR,,
Y128_ST-20-2670_20x_S60,,
Y038_ST-20-2477_20x_XR,,
Y108_ST-20-2663_20x_XR,,
Y183_ST-20-2912_20x_XR - 2020-07-08 12.04.28,,
Y216_SI-20-2949_20x_XR---2020-07-13-10.53.43,,
Y217_ST-20-2985_20x_XR - 2020-07-08 12.33.57,,
Y455_ST-20-3520_20x_S60,,
Y795_ST-20-4320,,
Y963_SI-20-4659_B-6,,
Y499_ST-20-3519_20x_S60_2,,
Z063_ST-20-4984_A1,,
Z170_ST-20-5179_A1,,
Z218_ST-20-5314_A1,,
Z225_SS-20-5192_A1,,
Z476_SS-20-5951_A1,,
Z312_ST-20-5478_A1,,
Z434_ST-20-5830_A1,,
Z328_ST-20-5477_A1,,
Z529_ST-20-5836_A1,,
