train,val,test
U434_SS-19-1191,Z099_SS-20-5127_A2,Z099_SS-20-5127_A2
V105_SS-19-3133,AQ60_ST-21-7136_A1,AQ60_ST-21-7136_A1
V403_SS-19-3936_20_2019-07-12_17.29.53,DB26_ST-22-8078_A1,DB26_ST-22-8078_A1
S149-SS-18-1122-40x-S60,Y640_SS-20-3950_20x_S60,Y640_SS-20-3950_20x_S60
W165_SS-19-6009_40x_S60-2019-10-22-18-36-26,FI06_SS-23-8928-SLIDE-A3,FI06_SS-23-8928-SLIDE-A3
W167_SS-19-6007_40x_S60-2019-10-22-18-47-59,BC47_SS-21-9410_A-1-SL1_-_2021-10-21_17.46.45,BC47_SS-21-9410_A-1-SL1_-_2021-10-21_17.46.45
W819-ST-19-7750-40x-S60,AI06_ST-21-4956_A1,AI06_ST-21-4956_A1
W549-SS-19-7128-40x-S60,BX79_ST-22-2290_A1,BX79_ST-22-2290_A1
Y082_ST-20-2549_20x_XR,DE44_ST-22-8494_A1-2022-12-08_09.56.54,DE44_ST-22-8494_A1-2022-12-08_09.56.54
Y129_ST-20-2671_20x_S60,FL39_ST-23-9681-SLIDE-A1,FL39_ST-23-9681-SLIDE-A1
Y173_ST-20-2753_20x_XR_-_2020-07-13_10.14.05,W668-SI-19-7268-40x-S60,W668-SI-19-7268-40x-S60
Y130_ST-20-2672_20x_S60,FE61_ST-23-8496_A1 - 2023-11-02 10.13.14,FE61_ST-23-8496_A1 - 2023-11-02 10.13.14
Y131_ST-20-2673_20x_S60,EB82_ST-23-3507_A1-2023-05-15_15.53.30,EB82_ST-23-3507_A1-2023-05-15_15.53.30
Y868_ST-20-4416,FB51_SS-23-7903_A,FB51_SS-23-7903_A
Z117_ST-20-5139_A1,EP56_ST-23-5844-A1 - 2023-08-08 12.50.47,EP56_ST-23-5844-A1 - 2023-08-08 12.50.47
Z256_SI-20-5097_A1,CB36_SS-22-3150_A1,CB36_SS-22-3150_A1
AQ12_ST-21-6963_A1,GB05_ST-24-2126_A1 - 2024-03-20 15.02.12,GB05_ST-24-2126_A1 - 2024-03-20 15.02.12
AP67_SB21-6496_B1_3,AK79_ST-21-5652_A1,AK79_ST-21-5652_A1
AM87_ST-21-5928_A-1_2 ,FN11_ST-23-8863-SLIDE-B1,FN11_ST-23-8863-SLIDE-B1
AY85_SS-21-8759_A1,Y128_ST-20-2670_20x_S60,Y128_ST-20-2670_20x_S60
AU07_ST-21-7775_A1_2_-_2021-08-11_10.47.21,ACXF_PM_001,ACXF_PM_001
AU08_ST-21-7776_A1_-_2021-08-11_10.38.51,AO69_ST-21-6599_A1_-_2021-06-23_15.18.25,AO69_ST-21-6599_A1_-_2021-06-23_15.18.25
AW82_ST-21-8297_A1_-_2021-09-01_10.54.50,ACYY_PM_003,ACYY_PM_003
CD01_ST-22-3277_A1,Z225_SS-20-5192_A1,Z225_SS-20-5192_A1
CH46_SS-22-4070_A2,AP90_ST-21-6950_A1_2,AP90_ST-21-6950_A1_2
CP86_ST-22-5718_A1-20,Z476_SS-20-5951_A1,Z476_SS-20-5951_A1
CR10_ST-22-6073_A1,ACUV_PM_002,ACUV_PM_002
CK88_ST-22-4960_A1,ACKE_PM_002,ACKE_PM_002
CM16_ST-22-5284_A1,Y499_ST-20-3519_20x_S60_2,Y499_ST-20-3519_20x_S60_2
CP72_ST-22-5896_A1,DW16_SS-23-2533_A-1-2023-04-14_12.20.47,DW16_SS-23-2533_A-1-2023-04-14_12.20.47
CJ95_ST-22-4817_A1,X920_ST-20-2247_20x_XR,X920_ST-20-2247_20x_XR
CU17_ST-22-6646_A1,CU85_ST-22-6983_A1,CU85_ST-22-6983_A1
DB64_ST-22-8087_A1-20,DJ50_ST-23-10-A1 - 2023-01-19 12.03.26,DJ50_ST-23-10-A1 - 2023-01-19 12.03.26
DC18_ST-22-8425-A1-2022-11-22_11.19.57,Z441_ST-20-5512_A1,Z441_ST-20-5512_A1
CV51_ST-22-6835_A1-20,W703-SS-19-7660-40x-S60,W703-SS-19-7660-40x-S60
CV58_ST-22-6870_A1-20,FY39_ST-24-1559_A1 - 2024-03-06 11.10.39,FY39_ST-24-1559_A1 - 2024-03-06 11.10.39
DP75_ST-23-1250_A1-2023-03-07_14.58.33,EV71_ST-23-6699-A1 - 2023-09-06 15.35.01,EV71_ST-23-6699-A1 - 2023-09-06 15.35.01
DJ86_ST-23-123_A1-2023-01-23_16.13.09,FP56_ST-24-112-SLIDE-A1,FP56_ST-24-112-SLIDE-A1
DK46_ST-23-173-A1-2023-01-31_12.03.12,FD58_ST-23-8307_A4 - 2023-11-02 12.54.16,FD58_ST-23-8307_A4 - 2023-11-02 12.54.16
DO27_ST-23-952-A-1-SL1-2023-02-16_16.01.13,DO24_ST-23-898-A1-2023-02-16_15.57.29,DO24_ST-23-898-A1-2023-02-16_15.57.29
DS49_SS-23-1887-A2-2023-03-15_11.32.25,EL99_ST-23-5264_A-1-2023-07-13 15.03.09,EL99_ST-23-5264_A-1-2023-07-13 15.03.09
DV42_ST-23-2210-A1-2023-04-12_09.31.57,AE30_SS-21-3966_A1,AE30_SS-21-3966_A1
EM82_ST-23-5491-A1 - 2023-07-18 13.35.38,Z626_ST-20-6280_A1_40,Z626_ST-20-6280_A1_40
EH77_ST-23-4629-A1-2023-06-14 14.46.07,Y003_ST-20-2401_20x_XR,Y003_ST-20-2401_20x_XR
EF31_SI-23-4185-B-2-SL1 - 2023-06-09 11.07.25,AW62_ST-21-8408_A1_-_2021-09-09_09.01.48,AW62_ST-21-8408_A1_-_2021-09-09_09.01.48
ET84_ST-23-6516-A1 - 2023-08-28 11.44.53,X083-SS-20-346-20x-S60,X083-SS-20-346-20x-S60
EU26_ST-23-6571-A1 - 2023-08-28 12.14.26,BC28_ST-21-9530_A1_2_-_2021-10-29_15.41.10,BC28_ST-21-9530_A1_2_-_2021-10-29_15.41.10
EW85_SI-23-6999-A-6-SL1 - 2023-09-07 15.31.02,EZ42_ST-23-7290-A-1-SL1-2023-09-29 08.51.30,EZ42_ST-23-7290-A-1-SL1-2023-09-29 08.51.30
EW18_ST-23-6715-A1 - 2023-09-07 15.42.24,EH28_ST-23-4388-A1 - 2023-06-21 14.29.29,EH28_ST-23-4388-A1 - 2023-06-21 14.29.29
GB68_ST-24-2243_A1 - 2024-03-22 15.01.53,FJ85_SS-23-9000_A1 - 2023-12-08 07.37.53,FJ85_SS-23-9000_A1 - 2023-12-08 07.37.53
GE14_ST-24-2617_A1 - 2024-04-03 10.09.34,Z334_SI-20-5636_A3,Z334_SI-20-5636_A3
ABET_PM_001,FL18_ST-23-9665-SLIDE-A1,FL18_ST-23-9665-SLIDE-A1
ABET_PM_002,Z006_SS-20-4991_A1,Z006_SS-20-4991_A1
ACIR_PM_002,DP50_ST-23-1236-A1-2023-02-27_12.42.40,DP50_ST-23-1236-A1-2023-02-27_12.42.40
