,train,val,test
0,AALU_PM_002,ABEE_PM_003,ABEE_PM_003
1,AASH_PM_003,ACOD_PM_001,ACOD_PM_001
2,AAVO_PM_003,ACSV_PM_001,ACSV_PM_001
3,ACOM_PM_001,ABMW_PM_002,ABMW_PM_002
4,ACYV_PM_002,ABMP_PM_001,ABMP_PM_001
5,ACZC_PM_001,ADAM_PM_003,ADAM_PM_003
6,ADBI_PM_003,ACKK_PM_002,ACKK_PM_002
7,ADFZ_PM_001,ACKK_PM_003,ACKK_PM_003
8,AAOZ_PM_002,ACUV_PM_002,ACUV_PM_002
9,ABND_PM_001,ADBF_PM_002,ADBF_PM_002
10,ABND_PM_002,ACJC_PM_003,ACJC_PM_003
11,ABON_PM_002,,
12,ABON_PM_001,,
13,ACIR_PM_002,,
14,ACIR_PM_003,,
15,ACKE_PM_002,,
16,ACMW_PM_001,,
17,ACMW_PM_002,,
18,ACMW_PM_003,,
19,ACMY_PM_002,,
20,ACPM_PM_001,,
21,ACPM_PM_003,,
22,ACSR_PM_003,,
23,ACTU_PM_001,,
24,ACTU_PM_002,,
25,ACTU_PM_003,,
26,ACUB_PM_003,,
27,ACXF_PM_001,,
28,ACYW_PM_002,,
29,ACYY_PM_003,,
30,ACZK_PM_002,,
31,ADBK_PM_001,,
32,ADCY_PM_001,,
33,ADCY_PM_003,,
34,ADCY_PM_002,,
35,ADDG_PM_003,,
36,ADFO_PM_001,,
37,ADFO_PM_002,,
38,ADFO_PM_003,,
39,AALS_PM_002,,
40,AASV_PM_002,,
41,ABET_PM_001,,
42,ABET_PM_002,,
43,ABFK_PM_002,,
44,ABNA_PM_002,,
45,ABOC_PM_001,,
46,ABOC_PM_002,,
47,ABOC_PM_003,,
48,ACET_PM_003,,
49,ACJM_PM_002,,
50,ACJM_PM_003,,
51,ACJZ_PM_002,,
52,ACKJ_PM_003,,
53,ACME_PM_001,,
54,ACME_PM_002,,
55,ACME_PM_003,,
56,ACYX_PM_001,,
57,ACYX_PM_002,,
58,ADDC_PM_002,,
59,ADDC_PM_003,,
60,ADDC_PM_001,,
61,ADDX_PM_001,,
62,ADDX_PM_003,,
63,ADEG_PM_002,,
64,ADEG_PM_003,,
