,train,val,test
0,AALU_PM_002,ACYV_PM_002,ACYV_PM_002
1,AASH_PM_003,ACSV_PM_001,ACSV_PM_001
2,AAVO_PM_003,ADBK_PM_001,ADBK_PM_001
3,ACOM_PM_001,ABFK_PM_002,ABFK_PM_002
4,ACZC_PM_001,ADDC_PM_002,ADDC_PM_002
5,ADAM_PM_003,ADDC_PM_003,ADDC_PM_003
6,ADBI_PM_003,ADDC_PM_001,ADDC_PM_001
7,ADFZ_PM_001,ABEE_PM_003,ABEE_PM_003
8,AAOZ_PM_002,ACXF_PM_001,ACXF_PM_001
9,ABON_PM_002,ABND_PM_001,ABND_PM_001
10,ABON_PM_001,ABND_PM_002,ABND_PM_002
11,ACIR_PM_002,ABNA_PM_002,ABNA_PM_002
12,ACIR_PM_003,AASV_PM_002,AASV_PM_002
13,ACKE_PM_002,,
14,ACKK_PM_002,,
15,ACKK_PM_003,,
16,ACMW_PM_001,,
17,ACMW_PM_002,,
18,ACMW_PM_003,,
19,ACMY_PM_002,,
20,ACOD_PM_001,,
21,ACPM_PM_001,,
22,ACPM_PM_003,,
23,ACSR_PM_003,,
24,ACTU_PM_001,,
25,ACTU_PM_002,,
26,ACTU_PM_003,,
27,ACUB_PM_003,,
28,ACUV_PM_002,,
29,ACYW_PM_002,,
30,ACYY_PM_003,,
31,ACZK_PM_002,,
32,ADCY_PM_001,,
33,ADCY_PM_003,,
34,ADCY_PM_002,,
35,ADDG_PM_003,,
36,ADFO_PM_001,,
37,ADFO_PM_002,,
38,ADFO_PM_003,,
39,AALS_PM_002,,
40,ABET_PM_001,,
41,ABET_PM_002,,
42,ABMP_PM_001,,
43,ABMW_PM_002,,
44,ABOC_PM_001,,
45,ABOC_PM_002,,
46,ABOC_PM_003,,
47,ACET_PM_003,,
48,ACJC_PM_003,,
49,ACJM_PM_002,,
50,ACJM_PM_003,,
51,ACJZ_PM_002,,
52,ACKJ_PM_003,,
53,ACME_PM_001,,
54,ACME_PM_002,,
55,ACME_PM_003,,
56,ACYX_PM_001,,
57,ACYX_PM_002,,
58,ADBF_PM_002,,
59,ADDX_PM_001,,
60,ADDX_PM_003,,
61,ADEG_PM_002,,
62,ADEG_PM_003,,
