,train,val,test
0,AALU_PM_002,AAVO_PM_003,AAVO_PM_003
1,AASH_PM_003,ACIR_PM_002,ACIR_PM_002
2,ABEE_PM_003,ACIR_PM_003,ACIR_PM_003
3,ACYV_PM_002,ABON_PM_002,ABON_PM_002
4,ACZC_PM_001,ABON_PM_001,ABON_PM_001
5,ADAM_PM_003,ACYX_PM_001,ACYX_PM_001
6,ADBI_PM_003,ACYX_PM_002,ACYX_PM_002
7,ADFZ_PM_001,ACJZ_PM_002,ACJZ_PM_002
8,AAOZ_PM_002,ACOM_PM_001,ACOM_PM_001
9,ABND_PM_001,ACUB_PM_003,ACUB_PM_003
10,ABND_PM_002,ADCY_PM_001,ADCY_PM_001
11,ACKE_PM_002,ADCY_PM_003,ADCY_PM_003
12,ACKK_PM_002,ADCY_PM_002,ADCY_PM_002
13,ACKK_PM_003,ADDX_PM_001,ADDX_PM_001
14,ACMW_PM_001,ADDX_PM_003,ADDX_PM_003
15,ACMW_PM_002,ABMW_PM_002,ABMW_PM_002
16,ACMW_PM_003,,
17,ACMY_PM_002,,
18,ACOD_PM_001,,
19,ACPM_PM_001,,
20,ACPM_PM_003,,
21,ACSR_PM_003,,
22,ACSV_PM_001,,
23,ACTU_PM_001,,
24,ACTU_PM_002,,
25,ACTU_PM_003,,
26,ACUV_PM_002,,
27,ACXF_PM_001,,
28,ACYW_PM_002,,
29,ACYY_PM_003,,
30,ACZK_PM_002,,
31,ADBK_PM_001,,
32,ADDG_PM_003,,
33,ADFO_PM_001,,
34,ADFO_PM_002,,
35,ADFO_PM_003,,
36,AALS_PM_002,,
37,AASV_PM_002,,
38,ABET_PM_001,,
39,ABET_PM_002,,
40,ABFK_PM_002,,
41,ABMP_PM_001,,
42,ABNA_PM_002,,
43,ABOC_PM_001,,
44,ABOC_PM_002,,
45,ABOC_PM_003,,
46,ACET_PM_003,,
47,ACJC_PM_003,,
48,ACJM_PM_002,,
49,ACJM_PM_003,,
50,ACKJ_PM_003,,
51,ACME_PM_001,,
52,ACME_PM_002,,
53,ACME_PM_003,,
54,ADBF_PM_002,,
55,ADDC_PM_002,,
56,ADDC_PM_003,,
57,ADDC_PM_001,,
58,ADEG_PM_002,,
59,ADEG_PM_003,,
