,train,val,test
0,AASH_PM_003,ACOM_PM_001,ACOM_PM_001
1,AAVO_PM_003,AAOZ_PM_002,AAOZ_PM_002
2,ABEE_PM_003,ADCY_PM_001,ADCY_PM_001
3,ACYV_PM_002,ADCY_PM_003,ADCY_PM_003
4,ACZC_PM_001,ADCY_PM_002,ADCY_PM_002
5,ADAM_PM_003,ACME_PM_001,ACME_PM_001
6,ADBI_PM_003,ACME_PM_002,ACME_PM_002
7,ADFZ_PM_001,ACME_PM_003,ACME_PM_003
8,ABND_PM_001,ABMW_PM_002,ABMW_PM_002
9,ABND_PM_002,AALU_PM_002,AALU_PM_002
10,ABON_PM_002,ACSR_PM_003,ACSR_PM_003
11,ABON_PM_001,ACKK_PM_002,ACKK_PM_002
12,ACIR_PM_002,ACKK_PM_003,ACKK_PM_003
13,ACIR_PM_003,AASV_PM_002,AASV_PM_002
14,ACKE_PM_002,ABFK_PM_002,ABFK_PM_002
15,ACMW_PM_001,,
16,ACMW_PM_002,,
17,ACMW_PM_003,,
18,ACMY_PM_002,,
19,ACOD_PM_001,,
20,ACPM_PM_001,,
21,ACPM_PM_003,,
22,ACSV_PM_001,,
23,ACTU_PM_001,,
24,ACTU_PM_002,,
25,ACTU_PM_003,,
26,ACUB_PM_003,,
27,ACUV_PM_002,,
28,ACXF_PM_001,,
29,ACYW_PM_002,,
30,ACYY_PM_003,,
31,ACZK_PM_002,,
32,ADBK_PM_001,,
33,ADDG_PM_003,,
34,ADFO_PM_001,,
35,ADFO_PM_002,,
36,ADFO_PM_003,,
37,AALS_PM_002,,
38,ABET_PM_001,,
39,ABET_PM_002,,
40,ABMP_PM_001,,
41,ABNA_PM_002,,
42,ABOC_PM_001,,
43,ABOC_PM_002,,
44,ABOC_PM_003,,
45,ACET_PM_003,,
46,ACJC_PM_003,,
47,ACJM_PM_002,,
48,ACJM_PM_003,,
49,ACJZ_PM_002,,
50,ACKJ_PM_003,,
51,ACYX_PM_001,,
52,ACYX_PM_002,,
53,ADBF_PM_002,,
54,ADDC_PM_002,,
55,ADDC_PM_003,,
56,ADDC_PM_001,,
57,ADDX_PM_001,,
58,ADDX_PM_003,,
59,ADEG_PM_002,,
60,ADEG_PM_003,,
