,train,val,test
0,AALU_PM_002,AAVO_PM_003,AAVO_PM_003
1,AASH_PM_003,ACOD_PM_001,ACOD_PM_001
2,ABEE_PM_003,ACSV_PM_001,ACSV_PM_001
3,ACOM_PM_001,ACJM_PM_002,ACJM_PM_002
4,ACYV_PM_002,ACJM_PM_003,ACJM_PM_003
5,ADAM_PM_003,ABOC_PM_001,ABOC_PM_001
6,ADBI_PM_003,ABOC_PM_002,ABOC_PM_002
7,ADFZ_PM_001,ABOC_PM_003,ABOC_PM_003
8,AAOZ_PM_002,ACZC_PM_001,ACZC_PM_001
9,ABND_PM_001,ACYW_PM_002,ACYW_PM_002
10,ABND_PM_002,ADFO_PM_001,ADFO_PM_001
11,ABON_PM_002,ADFO_PM_002,ADFO_PM_002
12,ABON_PM_001,ADFO_PM_003,ADFO_PM_003
13,ACIR_PM_002,ABNA_PM_002,ABNA_PM_002
14,ACIR_PM_003,AALS_PM_002,AALS_PM_002
15,ACKE_PM_002,,
16,ACKK_PM_002,,
17,ACKK_PM_003,,
18,ACMW_PM_001,,
19,ACMW_PM_002,,
20,ACMW_PM_003,,
21,ACMY_PM_002,,
22,ACPM_PM_001,,
23,ACPM_PM_003,,
24,ACSR_PM_003,,
25,ACTU_PM_001,,
26,ACTU_PM_002,,
27,ACTU_PM_003,,
28,ACUB_PM_003,,
29,ACUV_PM_002,,
30,ACXF_PM_001,,
31,ACYY_PM_003,,
32,ACZK_PM_002,,
33,ADBK_PM_001,,
34,ADCY_PM_001,,
35,ADCY_PM_003,,
36,ADCY_PM_002,,
37,ADDG_PM_003,,
38,AASV_PM_002,,
39,ABET_PM_001,,
40,ABET_PM_002,,
41,ABFK_PM_002,,
42,ABMP_PM_001,,
43,ABMW_PM_002,,
44,ACET_PM_003,,
45,ACJC_PM_003,,
46,ACJZ_PM_002,,
47,ACKJ_PM_003,,
48,ACME_PM_001,,
49,ACME_PM_002,,
50,ACME_PM_003,,
51,ACYX_PM_001,,
52,ACYX_PM_002,,
53,ADBF_PM_002,,
54,ADDC_PM_002,,
55,ADDC_PM_003,,
56,ADDC_PM_001,,
57,ADDX_PM_001,,
58,ADDX_PM_003,,
59,ADEG_PM_002,,
60,ADEG_PM_003,,
