,train,val,test
0,AALU_PM_002,ABEE_PM_003,ABEE_PM_003
1,AAVO_PM_003,ACUV_PM_002,ACUV_PM_002
2,ACOM_PM_001,ACIR_PM_002,ACIR_PM_002
3,ACYV_PM_002,ACIR_PM_003,ACIR_PM_003
4,ACZC_PM_001,ACJM_PM_002,ACJM_PM_002
5,ADAM_PM_003,ACJM_PM_003,ACJM_PM_003
6,ADBI_PM_003,ACME_PM_001,ACME_PM_001
7,ADFZ_PM_001,ACME_PM_002,ACME_PM_002
8,AAOZ_PM_002,ACME_PM_003,ACME_PM_003
9,ABND_PM_001,AASH_PM_003,AASH_PM_003
10,ABND_PM_002,ACKK_PM_002,ACKK_PM_002
11,ABON_PM_002,ACKK_PM_003,ACKK_PM_003
12,ABON_PM_001,ACYY_PM_003,ACYY_PM_003
13,ACKE_PM_002,ADEG_PM_002,ADEG_PM_002
14,ACMW_PM_001,ADEG_PM_003,ADEG_PM_003
15,ACMW_PM_002,ADDC_PM_002,ADDC_PM_002
16,ACMW_PM_003,ADDC_PM_003,ADDC_PM_003
17,ACMY_PM_002,ADDC_PM_001,ADDC_PM_001
18,ACOD_PM_001,,
19,ACPM_PM_001,,
20,ACPM_PM_003,,
21,ACSR_PM_003,,
22,ACSV_PM_001,,
23,ACTU_PM_001,,
24,ACTU_PM_002,,
25,ACTU_PM_003,,
26,ACUB_PM_003,,
27,ACXF_PM_001,,
28,ACYW_PM_002,,
29,ACZK_PM_002,,
30,ADBK_PM_001,,
31,ADCY_PM_001,,
32,ADCY_PM_003,,
33,ADCY_PM_002,,
34,ADDG_PM_003,,
35,ADFO_PM_001,,
36,ADFO_PM_002,,
37,ADFO_PM_003,,
38,AALS_PM_002,,
39,AASV_PM_002,,
40,ABET_PM_001,,
41,ABET_PM_002,,
42,ABFK_PM_002,,
43,ABMP_PM_001,,
44,ABMW_PM_002,,
45,ABNA_PM_002,,
46,ABOC_PM_001,,
47,ABOC_PM_002,,
48,ABOC_PM_003,,
49,ACET_PM_003,,
50,ACJC_PM_003,,
51,ACJZ_PM_002,,
52,ACKJ_PM_003,,
53,ACYX_PM_001,,
54,ACYX_PM_002,,
55,ADBF_PM_002,,
56,ADDX_PM_001,,
57,ADDX_PM_003,,
