,train,val,test
AALU_PM_002,True,False,False
AASH_PM_003,True,False,False
AAVO_PM_003,True,False,False
ACOM_PM_001,True,False,False
ACZC_PM_001,True,False,False
ADAM_PM_003,True,False,False
ADBI_PM_003,True,False,False
ADFZ_PM_001,True,False,False
ABON_PM_002,True,False,False
ABON_PM_001,True,False,False
ACIR_PM_002,True,False,False
ACIR_PM_003,True,False,False
ACKE_PM_002,True,False,False
ACKK_PM_002,True,False,False
ACKK_PM_003,True,False,False
ACMW_PM_001,True,False,False
ACMW_PM_002,True,False,False
ACMW_PM_003,True,False,False
ACMY_PM_002,True,False,False
ACPM_PM_001,True,False,False
ACPM_PM_003,True,False,False
ACSR_PM_003,True,False,False
ACSV_PM_001,True,False,False
ACTU_PM_001,True,False,False
ACTU_PM_002,True,False,False
ACTU_PM_003,True,False,False
ACUB_PM_003,True,False,False
ACUV_PM_002,True,False,False
ACXF_PM_001,True,False,False
ACYW_PM_002,True,False,False
ACYY_PM_003,True,False,False
ACZK_PM_002,True,False,False
ADBK_PM_001,True,False,False
ADDG_PM_003,True,False,False
ADFO_PM_001,True,False,False
ADFO_PM_002,True,False,False
ADFO_PM_003,True,False,False
AASV_PM_002,True,False,False
ABET_PM_001,True,False,False
ABET_PM_002,True,False,False
ABMW_PM_002,True,False,False
ABNA_PM_002,True,False,False
ABOC_PM_001,True,False,False
ABOC_PM_002,True,False,False
ABOC_PM_003,True,False,False
ACET_PM_003,True,False,False
ACJC_PM_003,True,False,False
ACJM_PM_002,True,False,False
ACJM_PM_003,True,False,False
ACJZ_PM_002,True,False,False
ACKJ_PM_003,True,False,False
ACME_PM_001,True,False,False
ACME_PM_002,True,False,False
ACME_PM_003,True,False,False
ACYX_PM_001,True,False,False
ACYX_PM_002,True,False,False
ADBF_PM_002,True,False,False
ADDC_PM_002,True,False,False
ADDC_PM_003,True,False,False
ADDC_PM_001,True,False,False
ADDX_PM_001,True,False,False
ADDX_PM_003,True,False,False
ABEE_PM_003,False,True,False
ABND_PM_001,False,True,False
ABND_PM_002,False,True,False
ACOD_PM_001,False,True,False
AALS_PM_002,False,True,False
ABFK_PM_002,False,True,False
ACYV_PM_002,False,True,False
ADCY_PM_001,False,True,False
ADCY_PM_003,False,True,False
ADCY_PM_002,False,True,False
AAOZ_PM_002,False,True,False
ABMP_PM_001,False,True,False
ADEG_PM_002,False,True,False
ADEG_PM_003,False,True,False
ABEE_PM_003,False,False,True
ABND_PM_001,False,False,True
ABND_PM_002,False,False,True
ACOD_PM_001,False,False,True
AALS_PM_002,False,False,True
ABFK_PM_002,False,False,True
ACYV_PM_002,False,False,True
ADCY_PM_001,False,False,True
ADCY_PM_003,False,False,True
ADCY_PM_002,False,False,True
AAOZ_PM_002,False,False,True
ABMP_PM_001,False,False,True
ADEG_PM_002,False,False,True
ADEG_PM_003,False,False,True
