,train,val,test
0,AALU_PM_002,ADFZ_PM_001,ADFZ_PM_001
1,AAVO_PM_003,ACUV_PM_002,ACUV_PM_002
2,ABEE_PM_003,ACIR_PM_002,ACIR_PM_002
3,ACOM_PM_001,ACIR_PM_003,ACIR_PM_003
4,ACYV_PM_002,ADEG_PM_002,ADEG_PM_002
5,ACZC_PM_001,ADEG_PM_003,ADEG_PM_003
6,ADAM_PM_003,ADBF_PM_002,ADBF_PM_002
7,ADBI_PM_003,AASH_PM_003,AASH_PM_003
8,AAOZ_PM_002,ACKK_PM_002,ACKK_PM_002
9,ABND_PM_001,ACKK_PM_003,ACKK_PM_003
10,ABND_PM_002,ACKE_PM_002,ACKE_PM_002
11,ABON_PM_002,ACJC_PM_003,ACJC_PM_003
12,ABON_PM_001,ABFK_PM_002,ABFK_PM_002
13,ACMW_PM_001,,
14,ACMW_PM_002,,
15,ACMW_PM_003,,
16,ACMY_PM_002,,
17,ACOD_PM_001,,
18,ACPM_PM_001,,
19,ACPM_PM_003,,
20,ACSR_PM_003,,
21,ACSV_PM_001,,
22,ACTU_PM_001,,
23,ACTU_PM_002,,
24,ACTU_PM_003,,
25,ACUB_PM_003,,
26,ACXF_PM_001,,
27,ACYW_PM_002,,
28,ACYY_PM_003,,
29,ACZK_PM_002,,
30,ADBK_PM_001,,
31,ADCY_PM_001,,
32,ADCY_PM_003,,
33,ADCY_PM_002,,
34,ADDG_PM_003,,
35,ADFO_PM_001,,
36,ADFO_PM_002,,
37,ADFO_PM_003,,
38,AALS_PM_002,,
39,AASV_PM_002,,
40,ABET_PM_001,,
41,ABET_PM_002,,
42,ABMP_PM_001,,
43,ABMW_PM_002,,
44,ABNA_PM_002,,
45,ABOC_PM_001,,
46,ABOC_PM_002,,
47,ABOC_PM_003,,
48,ACET_PM_003,,
49,ACJM_PM_002,,
50,ACJM_PM_003,,
51,ACJZ_PM_002,,
52,ACKJ_PM_003,,
53,ACME_PM_001,,
54,ACME_PM_002,,
55,ACME_PM_003,,
56,ACYX_PM_001,,
57,ACYX_PM_002,,
58,ADDC_PM_002,,
59,ADDC_PM_003,,
60,ADDC_PM_001,,
61,ADDX_PM_001,,
62,ADDX_PM_003,,
