,train,val,test
0,AALU_PM_002,ABEE_PM_003,ABEE_PM_003
1,AASH_PM_003,ACMY_PM_002,ACMY_PM_002
2,AAVO_PM_003,ACMW_PM_001,ACMW_PM_001
3,ACOM_PM_001,ACMW_PM_002,ACMW_PM_002
4,ACYV_PM_002,ACMW_PM_003,ACMW_PM_003
5,ADAM_PM_003,ADDC_PM_002,ADDC_PM_002
6,ADBI_PM_003,ADDC_PM_003,ADDC_PM_003
7,ADFZ_PM_001,ADDC_PM_001,ADDC_PM_001
8,AAOZ_PM_002,ACME_PM_001,ACME_PM_001
9,ABND_PM_001,ACME_PM_002,ACME_PM_002
10,ABND_PM_002,ACME_PM_003,ACME_PM_003
11,ABON_PM_002,ACZC_PM_001,ACZC_PM_001
12,ABON_PM_001,ACSV_PM_001,ACSV_PM_001
13,ACIR_PM_002,ADFO_PM_001,ADFO_PM_001
14,ACIR_PM_003,ADFO_PM_002,ADFO_PM_002
15,ACKE_PM_002,ADFO_PM_003,ADFO_PM_003
16,ACKK_PM_002,ADEG_PM_002,ADEG_PM_002
17,ACKK_PM_003,ADEG_PM_003,ADEG_PM_003
18,ACOD_PM_001,ABMP_PM_001,ABMP_PM_001
19,ACPM_PM_001,,
20,ACPM_PM_003,,
21,ACSR_PM_003,,
22,ACTU_PM_001,,
23,ACTU_PM_002,,
24,ACTU_PM_003,,
25,ACUB_PM_003,,
26,ACUV_PM_002,,
27,ACXF_PM_001,,
28,ACYW_PM_002,,
29,ACYY_PM_003,,
30,ACZK_PM_002,,
31,ADBK_PM_001,,
32,ADCY_PM_001,,
33,ADCY_PM_003,,
34,ADCY_PM_002,,
35,ADDG_PM_003,,
36,AALS_PM_002,,
37,AASV_PM_002,,
38,ABET_PM_001,,
39,ABET_PM_002,,
40,ABFK_PM_002,,
41,ABMW_PM_002,,
42,ABNA_PM_002,,
43,ABOC_PM_001,,
44,ABOC_PM_002,,
45,ABOC_PM_003,,
46,ACET_PM_003,,
47,ACJC_PM_003,,
48,ACJM_PM_002,,
49,ACJM_PM_003,,
50,ACJZ_PM_002,,
51,ACKJ_PM_003,,
52,ACYX_PM_001,,
53,ACYX_PM_002,,
54,ADBF_PM_002,,
55,ADDX_PM_001,,
56,ADDX_PM_003,,
